GEOID,NAMELSAD,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,county_id,STNAME
08017,Cheyenne County,276768964.93002254,281221667.07683975,285522963.2028894,286201973.7014898,283848313.3305643,282287217.9738149,287754174.9887133,289600583.82230246,290845919.02699775,286465238.1594583,08017,Colorado
41005,Clackamas County,56892102977.66141,57299782635.01435,58427576712.5981,59013658911.57671,60487368256.419685,61748899727.19277,63247589948.53274,64459494869.31359,64993032973.92109,65426563926.919365,41005,Oregon
05113,Polk County,3120558755.160271,3103250151.24298,3114518647.7580137,3098414342.2223024,3113566899.583205,3120146732.2185106,3133409651.431151,3148722591.617878,3132030367.4026184,3123425458.5556664,05113,Arkansas
13193,Macon County,2211282864.9209933,2181845397.7072687,2181230714.083612,2128769975.7594583,2124864486.4111967,2114913760.057788,2096405821.8907452,2071433425.7856436,2058920007.7435665,2025595542.5726411,13193,Georgia
18007,Benton County,1338245137.0293453,1336821837.6986005,1345404945.733273,1332461344.3004966,1340821935.1259594,1343143287.272235,1346689538.9471784,1348916696.692009,1353786840.9578328,1368649865.3298419,18007,Indiana
47129,Morgan County,3324700403.051919,3320619555.746817,3339032430.7893453,3301147086.7655087,3336524675.492912,3321007916.326862,3381655955.9079003,3368775274.84605,3369056492.9141307,3348561164.569571,47129,Tennessee
46043,Douglas County,452071075.2866817,448928200.6905643,449637657.86437917,452988115.90645593,450220943.3542212,456109396.5291197,454029425.29300225,457453269.7506095,457781150.65787816,456998886.21724606,46043,South Dakota
24047,Worcester County,7776105670.428894,7775031887.346637,7867286306.072776,7852047869.231241,7929916151.183025,7950394684.214899,8006565490.564334,8073651678.18474,8129292067.048306,8178731179.696253,24047,Maryland
17185,Wabash County,1799224760.5598195,1780315803.2765687,1782383198.7120543,1777681338.5152144,1783508443.2942665,1796008003.1349885,1795274966.3349888,1800899906.8453274,1802806629.880632,1802337271.2162526,17185,Illinois
18069,Huntington County,5604382799.404063,5610394900.829255,5640146183.910068,5601729636.412822,5629145667.778239,5642345170.206772,5645270284.886682,5661042820.945191,5670322024.365508,5713659474.376524,18069,Indiana
21209,Scott County,7138012028.424379,7232514081.939142,7469048882.502935,7615805580.135439,7875637465.047765,8058396197.823928,8309873945.282167,8561737281.680181,8756355242.658962,8918440434.757923,21209,Kentucky
19053,Decatur County,1271053544.343115,1245194595.6612191,1256636588.5836568,1251429172.9278555,1262248539.615711,1257236503.9151242,1252586146.5860045,1242016103.4192326,1234413287.3173814,1231284229.5548532,19053,Iowa
18169,Wabash County,4959796486.645598,4916020414.219774,4939608272.5901575,4915088605.30781,4935823866.690745,4922644096.686231,4901620171.037472,4904299147.514221,4881017203.767764,4849413720.36623,18169,Indiana
18003,Allen County,53744969570.11286,54187475425.25039,55044007580.283516,55344820731.40225,56146457241.449394,56760589474.16342,57459375832.93544,58095627533.825005,58682192825.566055,59342424013.45951,18003,Indiana
18099,Marshall County,7096640126.410836,7085336880.973002,7159732339.033138,7145148795.28307,7214606100.471332,7220650551.488938,7246116754.607675,7256893636.600632,7243142908.700315,7237197698.951513,18099,Indiana
31171,Thomas County,97692045.99548534,105363780.79422121,106918588.25065464,107382858.6799097,107788552.35358916,107074461.99006774,112301899.64424379,112839515.12126411,111707362.12225734,112958985.22726862,31171,Nebraska
